,0,1,2,3
0,309.69376,566.4232,522.663,627.24805
1,320.1494,367.789,501.97864,415.97534
2,301.57697,586.9591,519.5708,642.536
3,318.1418,553.0542,529.655,613.2672
4,320.03033,386.4965,499.45087,434.86356
5,328.34686,349.42923,513.8915,394.63968
6,327.42065,525.05896,523.61914,575.79614
7,330.6043,701.5707,502.40625,750.00476
8,325.93884,518.0654,525.67957,560.9498
9,327.02942,718.8869,513.5352,769.0612
10,326.1563,340.64584,508.26794,387.59903
11,320.01587,92.56367,480.2666,136.42816
12,328.14014,688.3358,502.12738,735.7897
13,332.4492,501.18213,514.0947,544.0012
14,331.75418,441.3493,486.80142,497.88556
15,324.70132,764.5277,538.4315,822.7606
16,332.3443,730.45557,521.3598,781.8784
17,318.1843,98.129425,481.23056,158.58331
18,327.01666,275.06525,491.91602,321.43555
19,329.24316,408.15997,480.7005,472.82812
20,332.43408,288.42526,495.5537,336.4305
21,332.27084,428.74948,490.7731,479.44717
22,316.40433,614.20416,507.2402,665.153
23,330.3733,248.36877,506.59467,295.5843
24,325.0526,748.22284,526.16296,804.1296
25,330.95572,323.24216,495.17117,367.81552
26,318.541,113.549805,487.6531,176.46167
27,325.82333,670.5885,491.88846,721.3789
28,328.5635,236.01202,510.01382,288.13953
29,338.06403,479.35727,523.6698,520.5024
30,328.0101,649.3108,496.49332,702.1754
31,336.15472,295.0881,501.12598,345.4744
32,337.32825,463.6294,485.42334,514.7699
33,329.9303,391.4241,482.89612,447.96036
34,329.1151,397.49216,538.1483,444.99643
35,336.57385,499.1915,476.3886,548.0586
36,323.59637,641.89056,503.1396,691.8079
37,318.20523,411.59998,506.28445,465.8451
38,331.58536,432.9742,551.06757,478.05612
39,327.7175,216.4963,511.88437,273.4452
40,340.65494,769.7518,521.02783,815.9456
41,343.56982,525.8079,483.80353,579.6309
42,329.38458,548.5045,491.70062,610.286
43,318.5006,130.16606,496.58594,196.09816
44,312.66873,391.97635,525.58496,429.267
45,334.10495,444.8592,552.34924,495.3188
46,312.14035,507.60028,524.3073,548.95636
47,324.21347,579.1204,481.02145,618.7559
48,318.08438,599.5279,568.82526,648.8084
49,316.76465,418.08865,552.083,469.9448
50,317.42334,88.30116,500.59412,143.8507
51,330.20435,199.1856,509.66443,255.321
52,311.28064,374.69873,538.286,417.9579
53,325.5128,184.96707,510.84402,244.08414
54,324.03833,168.28325,509.10596,226.89445
55,319.84866,152.30022,505.91904,211.28639
56,309.60526,472.76746,535.3421,514.15924
57,337.5581,370.22525,474.25873,421.22598
58,340.5728,512.868,487.2287,559.00555
59,314.43268,620.01013,543.7474,669.4199
60,293.97406,575.0321,578.91907,627.2672
61,321.6848,704.7341,473.54718,745.9251
62,316.48218,571.69,472.79797,611.4731
63,318.81067,728.7037,477.77087,770.22394
64,309.18863,326.55478,527.1518,371.3041
65,324.17535,595.14734,489.607,633.1677
66,294.5489,551.7292,557.1153,600.1834
67,311.55978,736.32996,475.37064,776.8927
68,351.44357,778.2945,490.63596,817.4532
69,283.4074,588.82733,577.0952,634.1954
70,302.72357,517.20245,470.0586,560.1331
71,308.9273,700.88416,432.26593,747.9557
72,317.08554,694.27844,466.1473,733.31946
73,288.78336,569.94495,567.6123,614.34875
74,314.72083,696.714,411.7249,745.21704
75,316.59433,254.21776,468.03897,298.11536
76,307.18018,691.68616,426.31085,736.00146
77,309.55615,144.31528,448.44208,192.78848
78,309.1077,523.81647,465.34592,567.07245
79,327.57086,139.6426,490.50824,189.3755
80,340.5508,346.1946,472.42398,393.74136
81,319.28955,297.05087,467.4818,344.34262
82,324.06366,127.31055,488.09564,170.23282
83,290.75574,596.7252,489.99194,650.8849
84,351.76562,703.3817,486.4643,756.3506
85,313.22012,166.94817,448.07834,211.06557
86,311.56976,173.93413,459.11255,223.94142
87,319.46045,556.4297,475.64,620.1542
88,351.54303,717.6121,490.07098,773.44525
89,309.82803,732.3643,429.24973,778.0992
90,311.9529,770.4583,485.16995,822.5854
91,348.3437,750.68945,492.62006,805.8263
92,311.92264,553.1428,476.098,595.90686
93,302.59833,147.80084,405.802,199.06863
94,321.51144,248.97408,450.6569,292.89337
95,324.40454,84.81482,468.6339,126.80351
96,320.16888,225.94098,455.4602,272.91238
97,302.3861,674.54486,395.396,726.05597
98,324.1919,162.18883,493.451,205.5099
99,298.1663,161.13213,404.09738,210.76057
100,315.05798,199.17998,454.97845,248.79045
101,316.25305,679.4633,472.92108,726.31793
102,314.3883,495.13193,448.70807,553.10516
103,336.54367,542.7503,473.30563,603.16473
104,297.9838,649.02563,408.47086,702.07214
105,321.32217,134.6995,440.45505,176.37881
106,304.64682,290.70618,415.04855,349.97992
107,319.90125,208.44142,449.4729,257.24585
108,337.65027,472.72653,476.0254,524.8925
109,305.4362,538.6356,522.3769,603.4137
110,312.1749,248.6869,410.56943,298.1835
111,364.4669,768.8374,491.89517,821.6554
112,341.839,519.0768,463.30676,569.89355
113,312.0844,725.2648,408.44794,772.7151
114,302.03183,254.25914,378.91605,299.58673
115,319.6086,506.10248,456.27634,572.48724
116,310.70593,172.82628,416.54712,225.6786
117,315.38266,748.62036,444.63828,796.5696
118,311.7314,652.0993,437.5449,702.22015
119,311.38876,205.15575,414.90274,259.80515
120,310.9462,736.435,407.63712,785.6005
121,309.96896,375.56244,493.72897,429.9386
122,347.27414,390.0315,476.39096,438.36316
123,321.66617,550.3085,503.34708,634.04504
124,301.36908,195.27054,409.2932,248.98462
125,314.0614,218.68486,364.27344,243.2079
126,309.29477,479.99576,453.30508,537.69543
127,314.22565,227.02953,412.2798,275.88022
128,275.98285,252.95337,356.72308,292.9245
